playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
account.079a6e4330b846bfa208a91634449003,0,0,0,60.80368,byplayer,0,1,46,0,0,0,0,0,0,0,0,TheMasonWay,0,0,3486.53052,0,1.13618362,0,1324.811,0,2518.82227,6,11,0,0
account.f8e1b4f93cd24aba9125b915ae63bdd2,0,0,0,0,byplayer,0,0,47,0,0,0,0,0,0,0,0,IamTheProphet08,0,0,1498.064,0,0,0,816.015,0,1681.16479,7,11,0,0
account.74a102fd182a4a24962f59430960ca02,0,0,0,0,byplayer,0,0,93,0,0,0,0,0,0,0,0,BetaFrags,0,0,0,0,0,0,141.49,0,59.930542,1,48,0,0
account.0d15619fc5b145abb7a3da977d7d6a6f,0,0,0,92.13522,byplayer,0,0,96,0,0,0,0,0,0,0,0,MidgetShotgun,0,0,0,0,0,0,114.113,0,44.8798447,1,48,0,0
account.f59174b96a134615a779235c0ff4f47e,1,1,4,222.538361,byplayer,1,0,31,0,0,1,1,0,0,6.724925,0,Michael_Bolton,0,2,1512.818,0,0,0,1078.112,0,2442.82178,5,14,0,0
account.a4ed86107dcf4ca9b2ccd1e190c19bc0,1,0,4,10,byplayer,0,6,30,0,0,1,1,0,0,8.777169,0,Thelasso,0,0,1539.64355,0,0,0,1078.118,0,2261.174,5,14,0,0
account.24cbbe2a7efa41b09360241bb1c66113,0,0,5,0,byplayer,0,13,45,0,0,0,0,0,0,0,0,thaPLAGU3,0,0,2841.49341,0,20.5889626,0,1445.732,0,3658.64258,3,9,0,0
account.3abfc1b51c494247abbc02e5bed9e1be,0,0,3,0,byplayer,0,7,44,0,0,0,0,0,0,0,0,Aregada,0,1,2376.88379,0,24.7021542,0,1445.735,0,3875.913,9,9,0,0
account.eea06beeed374823915ab84df9e49846,0,0,0,100,byplayer,0,0,36,0,0,1,1,0,0,0,0,Mixed_Pebble,0,0,0,0,0,0,357.529,0,415.266083,4,36,0,0
account.02fa7b39901c401eaf60c11d472614a0,2,0,2,231.599991,byplayer,1,3,20,0,0,1,2,0,0,36.5042152,0,Goober_TM,0,0,0,0,0,0,486.111,0,514.2417,6,32,0,0
account.66c7a11d00a64294ae50843d162971fd,0,0,0,0,byplayer,0,0,87,0,0,0,0,0,0,0,0,autismo-_,0,0,0,0,0,0,114.816,0,10.7230577,0,43,0,0
account.4abf5e0b63f148999bacf872ca7f4052,0,0,0,0,byplayer,0,0,86,0,0,0,0,0,0,0,0,RemRyuk,0,0,0,0,0,0,210.381,0,133.978729,1,43,0,0
account.4627b775225f4e519bbc73d148a87d9f,0,0,0,0,byplayer,0,0,62,0,0,0,0,0,0,0,0,shinyspaghetti,0,0,1886.92578,0,0,0,979.609,0,1157.88367,4,26,0,0
account.90f0a1e511414b028152ed37f4c3c901,0,0,1,0,byplayer,0,0,53,0,0,0,0,0,0,0,0,AleTheAssassin,0,0,2895.39746,0,0,0,933.409,0,1302.77722,6,19,0,0
account.14d78662c7a54ac19324d4a099c50742,0,0,0,62.3208923,byplayer,0,0,89,0,0,0,0,0,0,0,0,Spiderman86,0,0,0,0,0,0,188.09,0,73.116,3,44,0,0
account.9380e486eba54cad948ca674aa048241,0,0,0,59.079834,byplayer,0,0,88,0,0,0,0,0,0,0,0,Tropopause,0,0,0,0,0,0,188.096,0,40.17889,1,44,0,0
account.605192d56c3a4632b2e0e96d7ae3cbbd,2,0,1,353.13,byplayer,0,3,10,0,0,2,3,0,0,26.3737011,0,IceTech,0,0,0,0,0,0,373.387,0,196.523911,6,36,0,0
account.2d6a1b8177004e3bb13b6be3edf4761d,0,0,1,15.105,byplayer,0,5,75,0,0,0,0,0,0,0,0,leGunslinger,0,0,0,0,0,0,373.393,0,284.393921,6,36,0,0
account.ee91e0d512424d6a86f8d8861c576e82,2,1,2,392.1704,byplayer,1,2,6,0,0,2,4,0,0,8.9954195,0,WC_MusashiTV,0,0,0,0,0,0,517.361,0,1005.3407,2,13,0,0
account.6cc899a950594468957b31b7d8fde403,2,2,4,466.8841,byplayer,1,13,14,0,0,1,2,0,0,33.6115837,0,Teegardin,0,0,2443.497,0,16.90585,0,1094.516,0,2283.4082,5,13,0,0
account.da17c2ca08784bd891595bd48634e3c0,0,0,2,161.789963,byplayer,0,1,27,0,0,1,1,0,0,48.1451759,0,StreikS,0,0,4277.81641,0,0,0,1714.611,0,3436.906,6,4,0,0
account.984ceb42ead545d39a543f6df36a2350,0,0,3,84.375,byplayer,0,6,39,0,0,0,0,0,0,0,0,Archangel2023,0,1,4249.20459,0,0,0,1714.613,0,3537.999,6,4,0,0
account.2b274c2bb8c143c7b2dc85d3f8a8f6c9,0,0,0,0,byplayer,0,0,97,0,0,0,0,0,0,0,0,Twitch_Cr4Zy3y3,0,0,0,0,0,0,114.55,0,19.14553,2,49,0,0
